drug_a,drug_b,label
DB00186,DB00687,0
DB09166,DB09238,1
DB00936,DB11614,1
DB01037,DB01194,0
DB00501,DB12245,1
DB00717,DB11855,0
DB00188,DB00904,1
DB01072,DB08816,1
DB01388,DB06700,1
DB12245,DB00694,0
DB00370,DB04920,1
DB01357,DB09238,1
DB04076,DB04835,0
DB00586,DB01873,0
DB00749,DB08864,1
DB00831,DB01059,1
DB00918,DB09213,1
DB06701,DB12319,0
DB00908,DB09195,1
DB01194,DB02789,0
DB01357,DB12674,0
DB00467,DB01623,1
DB00934,DB09073,0
DB01104,DB05812,1
DB00792,DB08807,1
DB01064,DB00327,0
DB00347,DB00745,1
DB00250,DB00705,1
DB00620,DB01685,0
DB00679,DB01195,1
DB00532,DB00779,1
DB06789,DB06678,0
DB00740,DB09198,1
DB00758,DB00628,0
DB00263,DB00448,1
DB06077,DB01418,0
DB00367,DB00330,0
DB01065,DB01117,0
DB00169,DB01036,1
DB01064,DB09291,0
DB00598,DB04871,1
DB00250,DB00444,1
DB01268,DB11757,1
DB00582,DB09073,1
DB01303,DB09290,1
DB00628,DB12978,0
DB01130,DB01337,0
DB12543,DB06774,0
DB00439,DB00951,1
DB00315,DB11619,0
DB01367,DB08807,0
DB01142,DB09065,1
DB00238,DB02703,1
DB11619,DB09167,0
DB00642,DB00679,0
DB06605,DB09237,1
DB00224,DB09183,1
DB09166,DB09013,0
DB06414,DB09224,0
DB00277,DB01037,1
DB09128,DB11619,0
DB03783,DB06419,0
DB00277,DB06781,0
DB00252,DB11560,1
DB09101,DB12466,0
DB00661,DB11886,1
DB00849,DB09167,1
DB01595,DB00731,0
DB06739,DB00663,0
DB00677,DB11751,0
DB01283,DB01611,0
DB00448,DB00554,1
DB00608,DB01050,1
DB06626,DB00753,0
DB00570,DB06203,1
DB01067,DB04856,1
DB01079,DB01217,1
DB12218,DB00764,0
DB00186,DB01072,1
DB00622,DB00860,1
DB00759,DB00976,1
DB00969,DB08893,0
DB05219,DB06729,0
DB04840,DB11757,1
DB00851,DB04794,0
DB09198,DB11613,1
DB09049,DB06335,0
DB01621,DB05109,1
DB11986,DB01076,0
DB08893,DB09061,1
DB06287,DB00787,0
DB01059,DB00891,0
DB00574,DB09039,1
DB00675,DB00677,0
DB00454,DB00877,1
DB04356,DB00401,0
DB00891,DB04898,1
DB00694,DB01238,1
DB00582,DB00636,1
DB00333,DB11952,1
DB00758,DB11679,1
DB06729,DB01406,0
DB00455,DB06077,0
DB00752,DB09173,1
DB00477,DB01012,1
DB04894,DB06595,1
DB00872,DB01228,0
DB02709,DB00672,0
DB00503,DB01359,1
DB00802,DB01103,1
DB00752,DB11730,0
DB09280,DB00827,0
DB01181,DB01544,1
DB08882,DB09555,1
DB01232,DB01576,1
DB01403,DB01008,0
DB06729,DB09227,0
DB06636,DB08903,1
DB06738,DB01048,0
DB00253,DB00337,0
DB00575,DB00888,0
DB11979,DB06414,0
DB01601,DB09166,1
DB00394,DB00796,0
DB00378,DB09185,1
DB00530,DB00904,1
DB01007,DB06228,0
DB00205,DB09225,0
DB09079,DB12978,1
DB00973,DB04835,0
DB00361,DB06282,0
DB06512,DB11757,1
DB04908,DB00169,0
DB01028,DB02709,0
DB00379,DB11915,1
DB05154,DB01295,0
DB00330,DB05239,1
DB00444,DB01131,1
DB00810,DB11915,1
DB01095,DB01195,1
DB08882,DB00753,0
DB11730,DB00788,0
DB06212,DB05219,0
DB11963,DB08867,0
DB00333,DB06739,1
DB00445,DB00304,0
DB09143,DB11581,1
DB01588,DB01208,0
DB04894,DB04911,0
DB01028,DB00499,0
DB01656,DB11619,0
DB00261,DB05708,1
DB00877,DB01100,1
DB08816,DB12332,1
DB01008,DB00952,0
DB00356,DB06636,1
DB00704,DB00194,0
DB06738,DB08882,1
DB01126,DB11986,0
DB00972,DB01217,1
DB00918,DB00382,0
DB01223,DB00351,0
DB00762,DB12332,1
DB04825,DB00860,0
DB00872,DB01142,1
DB01095,DB09128,1
DB01227,DB09073,1
DB00465,DB00617,1
DB08867,DB01412,0
DB13003,DB09225,0
DB13174,DB00907,0
DB09013,DB00324,0
DB06636,DB01096,0
DB03515,DB00475,0
DB00531,DB01595,0
DB08804,DB05039,0
DB00250,DB01559,0
DB09143,DB01583,0
DB00757,DB09095,0
DB08873,DB11581,1
DB00675,DB12235,1
DB00636,DB11823,0
DB00914,DB04938,1
DB01295,DB06691,1
DB00559,DB00615,0
DB06817,DB00266,0
DB04840,DB11751,0
DB00234,DB01072,1
DB00711,DB04911,0
DB00655,DB00726,0
DB01181,DB00195,0
DB09274,DB00528,0
DB00863,DB12332,1
DB00762,DB04855,1
DB02134,DB06419,1
DB00621,DB01357,1
DB03783,DB06419,0
DB01253,DB08846,0
DB00467,DB00788,1
DB12267,DB00685,0
DB01412,DB13179,1
DB04572,DB04894,1
DB00721,DB00471,0
DB00860,DB01576,0
DB11921,DB00539,0
DB00322,DB00549,1
DB00818,DB09297,1
DB04835,DB00949,0
DB00936,DB12010,0
DB08903,DB01355,0
DB00193,DB08865,1
DB00603,DB09213,1
DB11691,DB01094,0
DB01238,DB11751,0
DB00843,DB12371,1
DB09124,DB00810,0
DB00330,DB00414,1
DB00865,DB01072,1
DB00622,DB04725,1
DB00932,DB01624,1
DB01095,DB01173,1
DB01384,DB11730,1
DB06774,DB12471,0
DB01173,DB09054,1
DB04841,DB06729,1
DB04898,DB12161,0
DB00783,DB09048,1
DB00469,DB09099,0
DB11915,DB11921,0
DB00532,DB03756,1
DB00422,DB09054,0
DB00381,DB08860,1
DB11730,DB00327,0
DB11837,DB00593,0
DB06335,DB04070,0
DB12147,DB00233,0
DB06210,DB06401,1
DB01236,DB09054,0
DB00268,DB00118,0
DB00714,DB06730,1
DB01264,DB11672,1
DB00696,DB00724,0
DB02703,DB06212,1
DB00888,DB12020,0
DB01624,DB11979,1
DB01367,DB00253,0
DB04856,DB01176,0
DB00734,DB09039,1
DB01183,DB00741,0
DB01591,DB13179,1
DB00668,DB09288,1
DB06726,DB01094,0
DB01130,DB01181,0
DB00532,DB00685,1
DB00857,DB01264,1
DB00224,DB01591,1
DB01588,DB06267,0
DB00574,DB00762,1
DB01544,DB04572,1
DB00877,DB12887,1
DB11751,DB00279,0
DB01472,DB12674,0
DB00204,DB00220,1
DB00283,DB00279,0
DB08865,DB00621,0
DB13158,DB00623,0
DB11679,DB12597,1
DB00317,DB01193,1
DB01117,DB12371,1
DB00575,DB00973,0
DB00982,DB01621,0
DB01007,DB06403,0
DB06207,DB00384,0
DB00193,DB01297,1
DB09237,DB00615,0
DB00489,DB11942,0
DB01595,DB00563,0
DB00737,DB01611,1
DB00531,DB00532,1
DB09167,DB00324,0
DB03575,DB09167,1
DB00425,DB00496,1
DB02187,DB02703,1
DB00532,DB00997,1
DB00788,DB03575,0
DB00384,DB00896,0
DB12001,DB00465,0
DB00496,DB01393,0
DB09083,DB06207,0
DB00244,DB00857,0
DB00788,DB01355,1
DB04552,DB01645,0
DB00215,DB04889,1
DB00379,DB11613,1
DB00891,DB06803,1
DB12874,DB00810,0
DB00351,DB00475,0
DB01590,DB04896,1
DB01190,DB09273,1
DB00395,DB04665,0
DB01087,DB11855,1
DB11952,DB00993,0
DB00612,DB00495,0
DB01275,DB11679,0
DB11942,DB08903,0
DB00396,DB00433,1
DB09102,DB12483,1
DB00384,DB13179,0
DB00356,DB00582,1
DB06729,DB08933,0
DB01059,DB01583,0
DB01601,DB09232,1
DB00773,DB00810,0
DB05541,DB01591,0
DB00872,DB01337,0
DB00477,DB11652,1
DB00589,DB05812,1
DB00712,DB01685,1
DB00327,DB01095,1
DB00621,DB08875,1
DB00289,DB00444,0
DB00204,DB00288,0
DB00696,DB11886,1
DB00843,DB03496,0
DB11921,DB09225,0
DB04889,DB01103,0
DB11652,DB00914,0
DB09065,DB12978,1
DB09048,DB11730,1
DB01667,DB11697,1
DB00773,DB09290,1
DB06695,DB09049,0
DB04894,DB01035,0
DB12267,DB01588,0
DB00764,DB00806,0
DB00252,DB06595,1
DB04574,DB11575,0
DB00322,DB01072,1
DB00947,DB00834,0
DB01406,DB08903,1
DB00448,DB06210,1
DB01037,DB00888,0
DB00518,DB08995,1
DB00591,DB04832,1
DB00675,DB01118,1
DB01072,DB09099,1
DB00736,DB09034,0
DB02789,DB01067,0
DB05239,DB06626,1
DB00674,DB11837,1
DB00176,DB06210,1
DB08864,DB00234,0
DB01087,DB04835,1
DB00554,DB01221,1
DB09227,DB11986,1
DB00582,DB01065,0
DB09213,DB12026,1
DB00998,DB11753,1
DB01098,DB08995,1
DB01131,DB00612,0
DB00983,DB08877,1
DB01142,DB01217,0
DB00188,DB09079,1
DB12235,DB12371,1
DB00264,DB04835,0
DB00904,DB00936,1
DB00588,DB04975,0
DB00863,DB01472,1
DB11730,DB12612,0
DB00444,DB06594,0
DB09049,DB11619,0
DB00545,DB00177,0
DB04829,DB11837,1
DB00714,DB06210,1
DB00440,DB00836,1
DB00623,DB01406,0
DB00906,DB08896,1
DB00476,DB00907,1
DB05219,DB01095,0
DB06739,DB09083,0
DB00778,DB12371,1
DB00248,DB06730,0
DB00945,DB00910,0
DB01384,DB00201,0
DB00714,DB12245,1
DB00983,DB06237,1
DB00717,DB01095,1
DB01211,DB00711,0
DB11823,DB00851,0
DB09195,DB04856,0
DB12674,DB00546,0
DB12267,DB00904,0
DB01058,DB06739,1
DB01628,DB06777,0
DB01223,DB00323,0
DB06626,DB00861,0
DB01131,DB12161,1
DB07615,DB09330,0
DB00818,DB01357,1
DB00617,DB01039,1
DB01623,DB12548,0
DB01621,DB00982,0
DB00947,DB08815,0
DB08933,DB00476,0
DB00778,DB08896,1
DB00850,DB00559,0
DB09327,DB09274,0
DB01079,DB00467,0
DB00531,DB00976,1
DB00396,DB01263,1
DB01667,DB04574,1
DB00333,DB11652,1
DB04938,DB12001,0
DB00333,DB09030,1
DB00396,DB08910,0
DB04856,DB09288,1
DB01008,DB08933,0
DB09235,DB01210,0
DB12457,DB08875,0
DB00234,DB00243,1
DB00482,DB01623,0
DB00499,DB01195,1
DB11986,DB01200,0
DB04861,DB09102,0
DB00283,DB00936,0
DB01544,DB08896,1
DB01074,DB04889,1
DB00343,DB01117,1
DB00396,DB01227,1
DB00395,DB12005,1
DB01254,DB01134,0
DB01223,DB00240,0
DB00817,DB05708,1
DB00346,DB09048,1
DB01087,DB06207,1
DB06267,DB11574,1
DB00180,DB09244,0
DB01087,DB00118,0
DB01098,DB01104,1
DB00307,DB01072,1
DB01193,DB09053,1
DB01072,DB04665,1
DB12332,DB11682,0
DB08907,DB01097,0
DB00976,DB04845,1
DB01580,DB12978,0
DB00806,DB00736,0
DB00439,DB00194,0
DB00233,DB01275,0
DB00557,DB06605,1
DB04842,DB00277,0
DB00575,DB00758,1
DB01014,DB00557,0
DB08439,DB01008,0
DB08815,DB09330,0
DB00557,DB01410,1
DB01131,DB08439,1
DB00557,DB00661,1
DB09090,DB00337,0
DB11693,DB00543,0
DB01472,DB00694,0
DB00208,DB00494,1
DB04856,DB04828,0
DB00440,DB09102,0
DB12329,DB09030,0
DB09090,DB00185,0
DB06730,DB00861,0
DB01580,DB00959,0
DB00778,DB01068,0
DB00322,DB00374,1
DB06203,DB11837,1
DB00699,DB00850,1
DB00220,DB05885,1
DB00969,DB01223,1
DB11682,DB04356,0
DB00495,DB01176,1
DB01388,DB00736,0
DB01072,DB04574,1
DB09065,DB12130,1
DB08846,DB00173,0
DB00982,DB01338,0
DB00969,DB01098,1
DB00499,DB00568,1
DB11614,DB11689,1
DB05039,DB09297,1
DB04630,DB01142,0
DB05814,DB00788,0
DB12130,DB00496,0
DB08827,DB09054,1
DB00599,DB12471,0
DB00240,DB00580,0
DB01130,DB01253,0
DB00953,DB06774,1
DB00927,DB00367,0
DB12001,DB09083,0
DB09198,DB00508,0
DB01100,DB06228,1
DB01039,DB11837,1
DB00846,DB04839,0
DB01259,DB11619,0
DB00642,DB00697,1
DB00317,DB00263,0
DB06282,DB01252,0
DB00628,DB09227,1
DB05219,DB00499,0
DB00679,DB00932,1
DB00559,DB06700,1
DB00806,DB12255,0
DB00908,DB01198,1
DB00194,DB00973,0
DB09099,DB00394,0
DB01096,DB00309,0
DB00582,DB00593,1
DB00864,DB00617,0
DB00805,DB00846,0
DB00908,DB09288,1
DB11995,DB06335,0
DB09090,DB00307,0
DB04845,DB00233,0
DB00683,DB04825,0
DB00243,DB03701,0
DB11978,DB13919,1
DB00392,DB00220,0
DB00309,DB01214,0
DB03010,DB11823,0
DB00489,DB00993,0
DB00568,DB01131,1
DB01412,DB02489,1
DB00546,DB13179,1
DB00745,DB00796,1
DB00911,DB11712,0
DB00227,DB01068,1
DB01008,DB06144,0
DB04884,DB09095,0
DB04841,DB06268,1
DB00353,DB05814,0
DB12978,DB01200,0
DB01048,DB01303,0
DB00370,DB08865,1
DB02703,DB03756,0
DB00315,DB12255,0
DB01410,DB09061,1
DB00273,DB11712,0
DB00289,DB00621,0
DB00762,DB09167,1
DB00425,DB00796,1
DB00674,DB01087,1
DB00268,DB11560,0
DB01191,DB00253,0
DB00358,DB12978,0
DB11828,DB00327,0
DB09079,DB00784,0
DB04844,DB04356,0
DB00214,DB04938,1
DB01245,DB01195,0
DB06817,DB00351,0
DB04070,DB02709,0
DB11574,DB09235,0
DB01248,DB01403,0
DB00412,DB01355,1
DB11737,DB01623,0
DB00818,DB01136,1
DB00846,DB01062,0
DB00104,DB09039,1
DB01028,DB09099,0
DB00361,DB06292,0
DB00433,DB00712,0
DB01221,DB09167,1
DB00352,DB09389,0
DB09224,DB03756,0
DB01131,DB06636,1
DB00508,DB00253,0
DB00910,DB11574,0
DB00773,DB00377,0
DB09237,DB12674,0
DB00204,DB11837,1
DB00932,DB09073,1
DB00532,DB09054,0
DB00381,DB06605,1
DB12874,DB00740,0
DB00169,DB00568,1
DB00757,DB08864,1
DB12278,DB01396,0
DB04957,DB12301,1
DB12674,DB00593,0
DB00608,DB06729,1
DB05109,DB11689,1
DB06700,DB09185,1
DB06201,DB00700,0
DB12001,DB09327,0
DB05039,DB06292,0
DB00860,DB00806,0
DB00792,DB12978,0
DB00993,DB01667,1
DB06712,DB12466,1
DB01393,DB04884,0
DB06152,DB00783,0
DB00559,DB06774,0
DB00568,DB06803,1
DB00330,DB01418,1
DB00953,DB11751,0
DB01228,DB09555,1
DB00412,DB05294,0
DB00270,DB00924,1
DB00762,DB01190,1
DB00628,DB11581,1
DB01645,DB08808,0
DB08880,DB09123,0
DB06207,DB00443,0
DB00590,DB04855,1
DB12887,DB00476,0
DB00532,DB01214,0
DB00608,DB00163,0
DB00549,DB00599,1
DB00304,DB00661,1
DB00440,DB00532,1
DB00751,DB00857,1
DB08875,DB06412,0
DB11952,DB00288,0
DB00862,DB09099,1
DB00439,DB11652,1
DB06774,DB09039,1
DB00443,DB09101,1
DB04842,DB13179,1
DB09124,DB00358,0
DB00896,DB00501,0
DB01232,DB09296,1
DB01134,DB11986,0
DB00839,DB01131,1
DB00787,DB04838,0
DB05246,DB01130,0
DB01013,DB00906,0
DB02489,DB06594,1
DB09241,DB00778,0
DB00264,DB05271,1
DB05109,DB00779,0
DB11921,DB06403,0
DB00220,DB06207,1
DB11730,DB11817,1
DB00956,DB11757,1
DB01393,DB09224,0
DB00377,DB00518,0
DB00317,DB00365,0
DB00608,DB01100,1
DB09225,DB00396,0
DB08865,DB09195,1
DB00972,DB01611,1
DB01211,DB11942,1
DB00918,DB09327,0
DB05294,DB01359,0
DB01137,DB12301,0
DB11796,DB09013,0
DB00741,DB01117,0
DB04076,DB12978,0
DB00227,DB00546,1
DB01264,DB09034,1
DB01136,DB11679,1
DB00586,DB01069,1
DB00193,DB01388,1
DB05154,DB09166,0
DB00700,DB11652,1
DB01190,DB04975,0
DB00396,DB00656,1
DB08912,DB00866,0
DB00248,DB00213,0
DB00365,DB09073,0
DB01029,DB09061,1
DB00467,DB09245,0
DB00440,DB12612,1
DB00839,DB01152,0
DB00361,DB00501,1
DB00261,DB01667,1
DB00279,DB05219,0
DB01232,DB11679,1
DB09048,DB05990,0
DB00696,DB09079,1
DB00499,DB01064,0
DB00471,DB09124,0
DB01087,DB01181,1
DB01238,DB00911,0
DB00661,DB09124,1
DB00501,DB01177,1
DB09090,DB08995,0
DB09297,DB00603,0
DB00440,DB01590,0
DB00343,DB11855,1
DB00759,DB00678,0
DB00612,DB01103,0
DB01591,DB04896,1
DB01095,DB06512,1
DB04216,DB11679,1
DB01008,DB09274,0
DB01873,DB00365,0
DB08903,DB01283,0
DB01297,DB05271,1
DB00685,DB12332,1
DB00998,DB01418,1
DB01297,DB09296,0
DB01167,DB01264,1
DB06654,DB00862,0
DB01126,DB11952,0
DB01036,DB12245,1
DB01039,DB11886,1
DB00910,DB00177,0
DB01623,DB00590,0
DB06603,DB12161,1
DB01264,DB08903,1
DB01100,DB01263,1
DB01129,DB00805,0
DB00358,DB00304,0
DB08896,DB09065,1
DB00860,DB01214,0
DB08820,DB01764,0
DB00799,DB01393,1
DB00188,DB09071,1
DB12267,DB09245,0
DB04854,DB12874,1
DB00316,DB11718,1
DB01211,DB06414,1
DB06729,DB01685,0
DB03575,DB11963,0
DB00322,DB00590,1
DB00910,DB00749,0
DB01357,DB11855,0
DB00877,DB01191,0
DB00467,DB00494,0
DB05246,DB09095,0
DB00663,DB06414,0
DB00891,DB01037,1
DB00668,DB01130,0
DB09273,DB13174,1
DB01367,DB01590,0
DB06789,DB00947,0
DB00966,DB00209,0
DB00983,DB09195,1
DB04855,DB04938,1
DB04356,DB04844,0
DB00843,DB01117,1
DB00201,DB00530,1
DB01037,DB01072,1
DB01097,DB00810,0
DB00586,DB00617,1
DB03783,DB06603,1
DB01058,DB06636,1
DB00261,DB04871,1
DB00736,DB06203,0
DB00238,DB04356,1
DB00163,DB04832,1
DB00564,DB04884,1
DB04884,DB11652,1
DB00214,DB01062,1
DB01303,DB04356,1
DB12319,DB04572,0
DB00737,DB06726,1
DB12141,DB12978,1
DB01028,DB09101,1
DB04975,DB09090,0
DB01137,DB11682,0
DB00752,DB06148,1
DB00615,DB01114,0
DB00482,DB11855,1
DB00186,DB06712,1
DB00188,DB00778,1
DB01007,DB04216,0
DB00814,DB00891,1
DB00471,DB08877,1
DB00580,DB11679,1
DB01079,DB11967,1
DB00819,DB06207,0
DB01039,DB06803,1
DB00297,DB01062,1
DB00214,DB00530,1
DB00936,DB13174,1
DB00841,DB06210,0
DB00361,DB01359,1
DB12278,DB00180,0
DB01558,DB09227,0
DB00347,DB01609,1
DB00910,DB00909,0
DB00343,DB09290,0
DB04842,DB05109,0
DB00590,DB01621,1
DB09227,DB12483,1
DB01177,DB08860,1
DB00619,DB12235,1
DB06803,DB08896,1
DB00909,DB12245,1
DB00972,DB01411,1
DB00734,DB01098,1
DB00490,DB13158,0
DB04630,DB01297,0
DB00486,DB09183,0
DB00370,DB04855,1
DB00661,DB09225,1
DB00571,DB12026,1
DB01036,DB06594,1
DB00865,DB04845,0
DB09083,DB00947,0
DB00817,DB01191,1
DB00370,DB00792,1
DB00333,DB00335,1
DB01062,DB01261,1
DB01259,DB01263,1
DB00685,DB12483,0
DB01171,DB00973,0
DB01200,DB11979,0
DB00849,DB09327,0
DB00778,DB00469,0
DB01261,DB06144,0
DB00454,DB11952,1
DB00425,DB00717,0
DB00185,DB01472,1
DB08882,DB12548,1
DB01176,DB04665,1
DB00851,DB00696,0
DB00877,DB01028,0
DB00740,DB12245,1
DB05885,DB00776,0
DB00469,DB01357,1
DB00118,DB01117,0
DB00518,DB00706,0
DB11952,DB12978,1
DB12245,DB00163,0
DB00861,DB11963,0
DB00906,DB01064,0
DB01094,DB05990,1
DB00601,DB12466,0
DB06077,DB01274,0
DB00546,DB00730,0
DB11952,DB06725,0
DB01076,DB11689,1
DB06730,DB00865,0
DB01058,DB04889,1
DB00227,DB00685,0
DB00865,DB04725,0
DB08875,DB09061,1
DB00486,DB03783,1
DB01587,DB08931,0
DB00194,DB09123,0
DB01013,DB09235,0
DB00356,DB01013,0
DB01319,DB04652,0
DB00799,DB01222,0
DB08808,DB11672,1
DB00213,DB12319,1
DB08880,DB08816,0
DB00248,DB00184,0
DB00752,DB01097,1
DB00255,DB04356,0
DB06803,DB13174,1
DB01410,DB01577,1
DB01355,DB00877,0
DB01357,DB12267,1
DB00734,DB00863,1
DB00846,DB12278,0
DB00213,DB00796,0
DB00946,DB11581,1
DB08901,DB00484,0
DB00574,DB09048,1
DB01064,DB00243,0
DB00370,DB00496,1
DB08807,DB09079,0
DB00531,DB11757,1
DB00489,DB01075,1
DB00564,DB06419,1
DB04070,DB09299,1
DB04794,DB00353,0
DB00208,DB01264,1
DB11951,DB01137,0
DB00744,DB01036,1
DB00983,DB11963,1
DB00946,DB01167,1
DB01097,DB09167,1
DB09054,DB09389,0
DB00264,DB00932,1
DB00708,DB00787,0
DB00708,DB01264,1
DB04828,DB00539,0
DB00827,DB05239,0
DB00924,DB00896,0
DB01069,DB01645,0
DB09039,DB01047,0
DB12582,DB11619,0
DB00169,DB00674,1
DB01032,DB04557,1
DB00615,DB09227,1
DB08867,DB09288,0
DB00932,DB04825,1
DB00908,DB13919,1
DB04832,DB11581,1
DB01337,DB09143,0
DB00959,DB12329,0
DB00343,DB09083,1
DB04871,DB06144,1
DB00933,DB11855,1
DB05990,DB00827,0
DB00820,DB04856,1
DB00499,DB06603,0
DB00927,DB09290,1
DB08820,DB00195,0
DB00918,DB01611,1
DB08865,DB09128,1
DB00396,DB06636,1
DB11682,DB01067,0
DB00861,DB00199,0
DB00997,DB01190,0
DB01295,DB06729,1
DB11791,DB00352,0
DB01297,DB12332,1
DB03783,DB11575,0
DB00936,DB04911,1
DB01026,DB01472,1
DB00946,DB04216,1
DB01193,DB04938,1
DB03010,DB12301,0
DB09039,DB13158,0
DB11560,DB09227,0
DB01012,DB11951,0
DB00712,DB05039,1
DB01096,DB00776,0
DB01173,DB01591,1
DB00620,DB00353,0
DB01044,DB02134,1
DB12329,DB05109,0
DB00574,DB11697,1
DB00636,DB09048,1
DB00467,DB09128,0
DB00586,DB04216,1
DB00381,DB06691,0
DB00224,DB00778,1
DB00439,DB09204,1
DB00224,DB12001,1
DB01536,DB06603,0
DB00532,DB06702,1
DB01667,DB04871,1
DB01062,DB06218,1
